[2020-03-29 10:48:58.163]  DEBUG com.graduate.club.main.ClubApplication logStarting-56 - Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
[2020-03-29 10:48:58.272]  DEBUG org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator buildExpressionFactory-89 - Loaded expression factory via original TCCL
[2020-03-29 10:48:58.303]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-578 - HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
[2020-03-29 10:48:58.303]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-579 - HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
[2020-03-29 10:48:58.303]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-580 - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
[2020-03-29 10:48:58.303]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-581 - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
[2020-03-29 10:48:58.303]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-582 - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
[2020-03-29 10:49:03.146]  DEBUG com.zaxxer.hikari.HikariConfig attemptFromContextLoader-900 - Driver class com.mysql.cj.jdbc.Driver found in Thread context class loader sun.misc.Launcher$AppClassLoader@18b4aac2
[2020-03-29 10:49:06.770]  DEBUG org.hibernate.validator.internal.engine.resolver.TraversableResolvers getDefault-60 - Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
[2020-03-29 10:49:06.770]  DEBUG org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator buildExpressionFactory-89 - Loaded expression factory via original TCCL
[2020-03-29 10:49:06.786]  DEBUG org.hibernate.validator.internal.engine.resolver.TraversableResolvers getDefault-60 - Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
[2020-03-29 10:49:06.786]  DEBUG org.hibernate.validator.internal.engine.ConfigurationImpl messageInterpolator-148 - Setting custom MessageInterpolator of type org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator
[2020-03-29 10:49:06.786]  DEBUG org.hibernate.validator.internal.engine.ConfigurationImpl constraintValidatorFactory-180 - Setting custom ConstraintValidatorFactory of type org.springframework.validation.beanvalidation.SpringConstraintValidatorFactory
[2020-03-29 10:49:06.786]  DEBUG org.hibernate.validator.internal.engine.ConfigurationImpl parameterNameProvider-194 - Setting custom ParameterNameProvider of type org.springframework.validation.beanvalidation.LocalValidatorFactoryBean$1
[2020-03-29 10:49:06.786]  DEBUG org.hibernate.validator.internal.xml.config.ValidationXmlParser getValidationXmlInputStream-120 - Trying to load META-INF/validation.xml for XML based Validator configuration.
[2020-03-29 10:49:06.786]  DEBUG org.hibernate.validator.internal.xml.config.ResourceLoaderHelper getResettableInputStreamForPath-53 - Trying to load META-INF/validation.xml via user class loader
[2020-03-29 10:49:06.801]  DEBUG org.hibernate.validator.internal.xml.config.ResourceLoaderHelper getResettableInputStreamForPath-60 - Trying to load META-INF/validation.xml via TCCL
[2020-03-29 10:49:06.801]  DEBUG org.hibernate.validator.internal.xml.config.ResourceLoaderHelper getResettableInputStreamForPath-66 - Trying to load META-INF/validation.xml via Hibernate Validator's class loader
[2020-03-29 10:49:06.801]  DEBUG org.hibernate.validator.internal.xml.config.ValidationXmlParser getValidationXmlInputStream-127 - No META-INF/validation.xml found. Using annotation based configuration only.
[2020-03-29 10:49:06.801]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-578 - HV000234: Using org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator as ValidatorFactory-scoped message interpolator.
[2020-03-29 10:49:06.801]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-579 - HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
[2020-03-29 10:49:06.801]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-580 - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
[2020-03-29 10:49:06.801]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-581 - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
[2020-03-29 10:49:06.801]  DEBUG org.hibernate.validator.internal.engine.ValidatorFactoryImpl logValidatorFactoryScopedConfiguration-582 - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
